Sector,Sub-Sector,Use,Province,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Agric,Agric,Non-Energy Emissions,Quebec,6720,6512,6587,6703,6715,6935,7154,7226,7307,7279,7217,7529,7537,7503,7628,7501,7213,7681,7414,7342,7399,7389,7793,7601,7491,7847,7858,7404,7901,7701,7869,7716,7870,7913
Waste,Waste,Non-Energy Emissions,Quebec,4971,4913,4857,4777,4733,4212,4126,4357,5054,5072,5104,4877,4804,4772,4707,4660,4879,4530,4432,3678,3751,3472,3579,3740,3887,3972,4814,4830,4720,4633,4530,4475,4423,4380
Transport,Road,End use Combustion of Energy Carriers,New-Brunswick,2821,2789,2872,2948,3067,3065,3188,3182,3236,3323,3359,3312,3354,3324,3313,3411,3371,3292,3214,3017,3215,3815,3465,2825,2650,2951,3342,2921,2865,2770,2521,2459,2403,2429
Transport,Off Road,End use Combustion of Energy Carriers,New-Brunswick,726,705,696,733,824,790,820,875,934,1072,1169,1123,1118,1057,1108,1031,1029,1017,923,802,1060,1190,927,762,639,671,654,632,635,596,575,595,508,513
Transport,Marine,End use Combustion of Energy Carriers,New-Brunswick,187,185,183,182,180,179,182,184,187,190,193,200,206,213,220,227,227,226,226,226,226,207,187,167,148,129,146,146,136,142,119,131,221,242
Transport,Rail,End use Combustion of Energy Carriers,New-Brunswick,121,112,106,106,105,99,99,93,82,95,113,114,118,123,118,124,117,106,109,98,107,99,99,104,104,113,111,122,109,108,90,119,75,78
Transport,Air,End use Combustion of Energy Carriers,New-Brunswick,137,121,126,120,113,114,110,105,106,118,122,117,114,113,119,127,119,110,106,96,101,88,107,117,113,111,109,108,116,118,61,64,94,100
Buildings,Residential,End use Combustion of Energy Carriers,New-Brunswick,1036,1058,1068,1019,924,789,802,842,709,676,729,615,663,707,749,746,668,755,759,751,853,987,876,593,661,804,684,626,604,516,436,363,395,371
Buildings,Commercial,End use Combustion of Energy Carriers,New-Brunswick,579,645,502,457,501,550,493,590,502,488,585,526,418,485,632,603,698,708,702,443,532,781,839,327,401,417,380,271,306,332,326,311,341,352
Non Energy Ind,Non Energy Ind,End use Combustion of Energy Carriers,New-Brunswick,1880,1827,1782,1800,1853,1985,1921,1794,1681,1727,1782,1719,1595,1600,1590,1366,1290,1604,1059,1103,1156,1236,1138,969,746,727,663,688,723,728,619,701,879,662
Energy Sector,Oil and Gas,Production of Energy Carriers,New-Brunswick,1219,1157,1253,1453,1485,1276,1498,1540,1331,1444,1817,2409,2698,2512,2543,2259,2383,2383,2439,2213,2634,2612,2371,2296,166,193,189,214,162,198,175,197,215,218
Energy Sector,Electricity,Production of Energy Carriers,New-Brunswick,6007,5433,6168,5169,6327,6965,6169,8607,9844,8524,8966,10469,8931,8719,9090,8412,7536,7402,6937,6812,5160,4730,4036,4027,4447,4234,4648,3950,4355,3931,2601,3273,3852,3008
Ind Processes,Ind Processes,Non-Energy Emissions,New-Brunswick,185,204,210,220,258,333,398,388,337,324,398,455,450,538,591,253,254,262,362,960,1473,884,920,864,378,379,470,499,511,341,349,339,347,328
Agric,Agric,Non-Energy Emissions,New-Brunswick,439,433,444,433,432,442,438,450,477,484,484,467,488,488,488,471,472,447,423,427,423,405,434,436,436,385,422,396,406,403,398,414,409,394
Waste,Waste,Non-Energy Emissions,New-Brunswick,782,795,822,835,863,880,892,894,894,892,889,883,877,851,832,813,789,715,669,636,608,608,549,555,568,551,521,531,531,563,589,644,650,664
Transport,Road,End use Combustion of Energy Carriers,Newfoundland,1497,1485,1511,1609,1569,1499,1500,1469,1482,1518,1567,1609,1643,1890,1726,1759,1711,1978,2199,1977,2060,2524,2420,2267,2579,2571,2553,2547,2395,2328,2055,2055,2083,1997
Transport,Off Road,End use Combustion of Energy Carriers,Newfoundland,681,566,502,543,579,590,624,707,709,762,839,858,923,868,781,882,819,829,754,767,767,773,791,695,807,1061,1085,999,1040,1045,700,757,756,770
Transport,Marine,End use Combustion of Energy Carriers,Newfoundland,744,743,743,743,743,742,752,761,770,779,788,812,837,862,886,911,895,879,862,846,830,769,707,646,584,523,565,598,591,622,569,537,573,616
Transport,Rail,End use Combustion of Energy Carriers,Newfoundland,87,75,75,67,83,85,68,45,55,36,45,44,47,54,41,58,68,46,82,74,87,138,76,83,74,78,76,89,68,94,65,72,83,105
Transport,Air,End use Combustion of Energy Carriers,Newfoundland,238,233,231,209,217,217,246,257,269,287,297,264,290,372,363,339,303,313,315,287,289,287,310,303,311,307,303,280,289,281,153,175,246,267
